category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
HCC1,0.301,0.213,0.397,0.237,0.196,0.109,1.322,0.0,0.0,0.0,0.0
HCC2,0.5,0.598,0.649,0.78,0.447,0.591,0.605,0.0,0.0,0.0,0.0
HCC6,0.381,0.763,0.588,0.833,0.518,0.685,0.728,0.0,0.0,0.0,0.0
HCC17,4.209,3.995,3.896,4.235,3.946,4.103,1.952,0.0,0.0,0.0,0.0
HCC18,2.341,2.486,2.277,2.537,2.166,2.403,1.11,0.0,0.0,0.0,0.0
HCC19,1.798,1.989,1.563,1.661,1.52,1.554,0.957,0.0,0.0,0.0,0.0
HCC20,1.136,0.978,1.166,1.173,1.214,1.067,0.672,0.0,0.0,0.0,0.0
HCC21,0.671,0.54,0.654,0.739,0.627,0.618,0.493,0.0,0.0,0.0,0.0
HCC22,0.363,0.366,0.382,0.409,0.41,0.351,0.314,0.0,0.0,0.0,0.0
HCC23,0.186,0.233,0.196,0.218,0.203,0.237,0.197,0.0,0.0,0.0,0.0
HCC35,0.949,1.393,1.117,0.573,1.117,2.74,1.106,0.0,0.0,0.0,0.0
HCC36,0.166,0.191,0.186,0.235,0.166,0.21,0.28,0.0,0.0,0.0,0.0
HCC37,0.166,0.191,0.186,0.235,0.166,0.21,0.28,0.0,0.0,0.0,0.0
HCC38,0.166,0.191,0.186,0.235,0.166,0.21,0.28,0.0,0.0,0.0,0.0
HCC48,0.186,0.144,0.3,0.178,0.164,0.118,0.442,0.0,0.0,0.0,0.0
HCC49,9.256,13.778,2.833,6.399,3.269,7.771,1.528,0.0,0.0,0.0,0.0
HCC50,0.648,0.883,0.555,0.789,0.435,0.529,0.362,0.0,0.0,0.0,0.0
HCC51,0.51,0.606,0.634,0.654,0.313,0.393,0.62,0.0,0.0,0.0,0.0
HCC62,0.376,0.184,0.261,0.409,0.571,0.271,0.593,0.0,0.0,0.0,0.0
HCC63,0.962,1.032,1.102,1.209,0.861,1.101,0.894,0.0,0.0,0.0,0.0
HCC64,0.447,0.383,0.475,0.414,0.391,0.27,0.378,0.0,0.0,0.0,0.0
HCC65,0.185,0.248,0.101,0.22,0.156,0.189,0.378,0.0,0.0,0.0,0.0
HCC68,0.388,0.383,0.085,0.354,0.391,0.27,0.09,0.0,0.0,0.0,0.0
HCC77,1.172,6.301,5.039,6.161,5.039,5.039,5.089,0.0,0.0,0.0,0.0
HCC78,0.326,0.534,0.382,0.548,0.478,0.688,0.38,0.0,0.0,0.0,0.0
HCC79,0.357,0.574,0.525,0.799,0.444,0.709,0.218,0.0,0.0,0.0,0.0
HCC80,0.55,0.635,0.49,0.651,0.479,0.603,0.374,0.0,0.0,0.0,0.0
HCC81,0.244,0.285,0.201,0.286,0.205,0.237,0.258,0.0,0.0,0.0,0.0
HCC92,0.479,0.529,0.611,0.632,0.471,0.539,0.556,0.0,0.0,0.0,0.0
HCC93,0.617,0.47,0.439,0.384,0.405,0.288,0.297,0.0,0.0,0.0,0.0
HCC94,0.268,0.239,0.237,0.25,0.224,0.196,0.297,0.0,0.0,0.0,0.0
HCC107,0.457,1.449,0.61,1.939,0.303,1.569,0.692,0.0,0.0,0.0,0.0
HCC108,0.146,0.386,0.103,0.408,0.303,0.416,0.098,0.0,0.0,0.0,0.0
HCC109,1.144,1.815,1.048,1.541,1.009,1.514,0.529,0.0,0.0,0.0,0.0
HCC111,4.639,30.706,15.539,31.424,11.201,32.199,6.31,0.0,0.0,0.0,0.0
HCC112,0.45,0.64,0.46,0.634,0.574,0.708,0.516,0.0,0.0,0.0,0.0
HCC114,2.262,2.598,2.016,2.67,2.137,2.789,0.691,0.0,0.0,0.0,0.0
HCC115,0.565,0.692,0.438,0.498,0.302,0.613,0.691,0.0,0.0,0.0,0.0
HCC125,0.341,0.296,0.438,0.367,0.401,0.345,0.0,0.0,0.0,0.0,0.0
HCC126,0.341,0.296,0.438,0.367,0.401,0.345,0.0,0.0,0.0,0.0,0.0
HCC127,0.341,0.296,0.438,0.367,0.401,0.345,0.0,0.0,0.0,0.0,0.0
HCC135,0.424,0.637,0.702,1.181,0.522,0.922,0.297,0.0,0.0,0.0,0.0
HCC136,0.424,0.637,0.502,1.181,0.522,0.922,0.297,0.0,0.0,0.0,0.0
HCC137,0.424,0.365,0.502,0.471,0.394,0.348,0.297,0.0,0.0,0.0,0.0
HCC138,0.423,0.264,0.502,0.384,0.355,0.348,0.297,0.0,0.0,0.0,0.0
HCC139,0.242,0.207,0.478,0.25,0.308,0.159,0.0,0.0,0.0,0.0,0.0
HCC151,0.511,0.38,0.591,0.414,0.501,0.304,0.449,0.0,0.0,0.0,0.0
HCC152,0.484,0.29,0.579,0.255,0.501,0.247,0.208,0.0,0.0,0.0,0.0
HCC153,0.396,0.29,0.42,0.255,0.464,0.232,0.199,0.0,0.0,0.0,0.0
HCC154,0.351,0.166,0.349,0.126,0.314,0.108,0.199,0.0,0.0,0.0,0.0
HCC155,0.299,0.166,0.316,0.126,0.269,0.108,0.199,0.0,0.0,0.0,0.0
HCC180,1.125,0.986,1.068,1.095,1.311,1.399,0.735,0.0,0.0,0.0,0.0
HCC181,0.942,0.648,0.859,0.832,0.883,0.852,0.563,0.0,0.0,0.0,0.0
HCC182,0.478,0.368,0.402,0.308,0.401,0.316,0.27,0.0,0.0,0.0,0.0
HCC190,1.175,1.792,1.427,3.642,0.64,1.243,0.628,0.0,0.0,0.0,0.0
HCC191,0.855,0.743,0.393,0.466,0.84,0.104,0.0,0.0,0.0,0.0,0.0
HCC192,0.314,0.129,0.0,0.067,0.22,0.104,0.0,0.0,0.0,0.0,0.0
HCC193,1.692,1.427,0.957,0.939,1.149,0.85,0.913,0.0,0.0,0.0,0.0
HCC195,2.909,3.633,2.153,3.323,2.69,1.779,1.837,0.0,0.0,0.0,0.0
HCC196,0.516,0.642,0.503,0.507,0.427,0.248,0.486,0.0,0.0,0.0,0.0
HCC197,0.426,0.632,0.369,0.681,0.162,0.145,0.292,0.0,0.0,0.0,0.0
HCC198,0.647,0.908,0.791,1.143,0.569,0.77,0.226,0.0,0.0,0.0,0.0
HCC199,0.615,0.517,0.634,0.504,0.474,0.354,0.219,0.0,0.0,0.0,0.0
HCC200,0.279,0.208,0.165,0.281,0.05,0.428,0.0,0.0,0.0,0.0,0.0
HCC201,0.245,0.196,0.233,0.17,0.245,0.202,0.131,0.0,0.0,0.0,0.0
HCC202,0.543,0.238,0.721,0.279,0.549,0.309,0.097,0.0,0.0,0.0,0.0
HCC211,0.879,0.878,1.981,1.418,1.022,0.59,1.57,0.0,0.0,0.0,0.0
HCC212,0.37,0.51,0.573,0.662,0.409,0.493,0.258,0.0,0.0,0.0,0.0
HCC213,0.37,0.51,0.573,0.662,0.409,0.493,0.258,0.0,0.0,0.0,0.0
HCC221,1.053,0.999,1.412,1.781,0.88,1.371,0.84,0.0,0.0,0.0,0.0
HCC222,2.505,5.77,2.927,6.612,3.009,6.106,0.826,0.0,0.0,0.0,0.0
HCC223,2.505,5.77,2.927,6.612,3.009,6.106,0.826,0.0,0.0,0.0,0.0
HCC224,0.36,0.442,0.406,0.537,0.311,0.411,0.217,0.0,0.0,0.0,0.0
HCC225,0.36,0.442,0.406,0.537,0.311,0.411,0.217,0.0,0.0,0.0,0.0
HCC226,0.36,0.442,0.406,0.537,0.311,0.411,0.217,0.0,0.0,0.0,0.0
HCC227,0.189,0.2,0.173,0.198,0.145,0.186,0.189,0.0,0.0,0.0,0.0
HCC228,0.252,0.254,0.493,0.517,0.324,0.407,0.31,0.0,0.0,0.0,0.0
HCC229,0.24,0.254,0.325,0.458,0.278,0.315,0.31,0.0,0.0,0.0,0.0
HCC238,0.299,0.296,0.407,0.304,0.293,0.261,0.245,0.0,0.0,0.0,0.0
HCC248,0.239,0.18,0.377,0.332,0.313,0.183,0.081,0.0,0.0,0.0,0.0
HCC249,0.239,0.18,0.377,0.277,0.299,0.172,0.081,0.0,0.0,0.0,0.0
HCC253,0.387,0.32,0.437,0.39,0.437,0.403,0.0,0.0,0.0,0.0,0.0
HCC254,0.321,0.172,0.292,0.365,0.29,0.335,0.0,0.0,0.0,0.0,0.0
HCC263,1.118,1.066,1.432,1.276,1.007,1.056,0.696,0.0,0.0,0.0,0.0
HCC264,0.455,0.52,0.498,0.461,0.513,0.622,0.338,0.0,0.0,0.0,0.0
HCC267,0.294,0.431,0.445,0.568,0.338,0.498,0.245,0.0,0.0,0.0,0.0
HCC276,2.531,1.583,2.21,2.292,2.961,1.277,3.085,0.0,0.0,0.0,0.0
HCC277,0.998,2.818,1.34,3.76,0.65,3.829,0.873,0.0,0.0,0.0,0.0
HCC278,0.818,1.209,0.791,1.64,0.65,0.937,0.873,0.0,0.0,0.0,0.0
HCC279,0.818,0.842,0.594,0.808,0.65,0.804,0.873,0.0,0.0,0.0,0.0
HCC280,0.319,0.209,0.39,0.281,0.321,0.234,0.312,0.0,0.0,0.0,0.0
HCC282,0.44,0.362,0.538,0.269,0.409,0.173,0.353,0.0,0.0,0.0,0.0
HCC283,0.204,0.0,0.131,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC298,0.336,0.364,0.323,0.319,0.327,0.301,0.545,0.0,0.0,0.0,0.0
HCC300,0.596,0.366,0.37,0.255,0.459,0.38,0.196,0.0,0.0,0.0,0.0
HCC326,0.815,0.927,0.985,0.946,0.965,1.05,0.958,0.0,0.0,0.0,0.0
HCC327,0.514,0.523,0.565,0.661,0.484,0.447,0.462,0.0,0.0,0.0,0.0
HCC328,0.127,0.179,0.116,0.181,0.14,0.178,0.145,0.0,0.0,0.0,0.0
HCC329,0.127,0.179,0.116,0.181,0.14,0.178,0.145,0.0,0.0,0.0,0.0
HCC379,1.965,2.14,2.58,2.57,2.349,2.349,1.42,0.0,0.0,0.0,0.0
HCC380,1.078,1.091,1.422,1.285,1.268,1.378,0.839,0.0,0.0,0.0,0.0
HCC381,1.075,1.091,1.379,1.192,1.136,1.089,0.423,0.0,0.0,0.0,0.0
HCC382,0.838,0.994,1.029,0.935,0.845,0.937,0.343,0.0,0.0,0.0,0.0
HCC383,0.646,0.707,0.89,0.707,0.66,0.654,0.343,0.0,0.0,0.0,0.0
HCC385,1.291,0.234,2.362,0.857,0.0,0.204,0.0,0.0,0.0,0.0,0.0
HCC387,0.406,0.302,0.658,0.622,0.477,0.498,0.125,0.0,0.0,0.0,0.0
HCC397,0.199,0.15,0.349,0.19,0.128,0.052,0.085,0.0,0.0,0.0,0.0
HCC398,0.199,0.15,0.349,0.19,0.128,0.052,0.085,0.0,0.0,0.0,0.0
HCC399,0.199,0.15,0.349,0.19,0.128,0.052,0.085,0.0,0.0,0.0,0.0
HCC401,0.522,0.605,0.622,0.559,0.538,0.412,0.231,0.0,0.0,0.0,0.0
HCC402,0.467,0.561,0.561,0.57,0.499,0.527,0.089,0.0,0.0,0.0,0.0
HCC405,0.598,0.577,0.799,0.844,0.639,0.698,0.284,0.0,0.0,0.0,0.0
HCC409,0.598,0.562,0.799,0.844,0.604,0.623,0.284,0.0,0.0,0.0,0.0
HCC454,1.068,0.452,1.326,0.608,1.338,0.416,1.596,0.0,0.0,0.0,0.0
HCC463,0.673,0.914,0.891,0.947,0.526,0.853,0.634,0.0,0.0,0.0,0.0
D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D5,0.05,0.088,0.049,0.095,0.016,0.105,0.0,0.0,0.0,0.0,0.0
D6,0.102,0.223,0.071,0.245,0.096,0.191,0.0,0.0,0.0,0.0,0.0
D7,0.188,0.38,0.16,0.472,0.207,0.435,0.0,0.0,0.0,0.0,0.0
D8,0.316,0.44,0.267,0.607,0.345,0.581,0.0,0.0,0.0,0.0,0.0
D9,0.444,0.75,0.353,0.841,0.345,0.823,0.0,0.0,0.0,0.0,0.0
D10P,0.728,1.431,0.746,1.471,0.901,1.268,0.373,0.0,0.0,0.0,0.0
DIABETES_HF_V28,0.112,0.023,0.183,0.041,0.164,0.053,0.209,0.0,0.0,0.0,0.0
HF_CHR_LUNG_V28,0.078,0.062,0.109,0.097,0.14,0.108,0.145,0.0,0.0,0.0,0.0
HF_KIDNEY_V28,0.176,0.314,0.194,0.42,0.14,0.328,0.0,0.0,0.0,0.0,0.0
CHR_LUNG_CARD_RESP_FAIL_V28,0.254,0.242,0.34,0.275,0.329,0.27,0.331,0.0,0.0,0.0,0.0
HF_HCC238_V28,0.077,0.257,0.14,0.372,0.135,0.314,0.0,0.0,0.0,0.0,0.0
gSubUseDisorder_gPsych_V28,0.0,0.087,0.0,0.152,0.0,0.149,0.0,0.0,0.0,0.0,0.0
DISABLED_CANCER_V28,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.0,0.0
DISABLED_NEURO_V28,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0
DISABLED_HF_V28,0.0,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0
DISABLED_CHR_LUNG_V28,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.0
DISABLED_ULCER_V28,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.0,0.0,0.0,0.0
NEF0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,1.025,0.0,0.0
NEF35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.303,0.0,0.0
NEF45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.155,1.415,0.0,0.0
NEF55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.152,1.289,0.0,0.0
NEF60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212,1.396,0.0,0.0
NEF65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.986,1.212,1.599
NEF66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.99,1.276,1.599
NEF67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557,1.004,1.276,1.599
NEF68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,1.004,1.276,2.021
NEF69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.004,1.276,2.021
NEF70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,1.043,1.276,2.021
NEF75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901,1.128,1.276,2.021
NEF80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,1.342,1.276,2.021
NEF85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287,1.563,1.287,2.021
NEF90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287,1.712,1.287,2.021
NEF95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287,1.712,1.287,2.021
NEM0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,0.738,0.0,0.0
NEM35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669,1.264,0.0,0.0
NEM45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906,1.42,0.0,0.0
NEM55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,1.477,0.0,0.0
NEM60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057,1.542,0.0,0.0
NEM65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,1.182,1.057,1.727
NEM66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576,1.234,1.155,1.959
NEM67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,1.319,1.155,1.959
NEM68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678,1.367,1.155,1.959
NEM69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,1.455,1.297,1.959
NEM70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,1.455,1.297,1.959
NEM75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049,1.455,1.297,2.813
NEM80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245,1.503,1.297,2.813
NEM85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516,1.682,1.516,2.813
NEM90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516,1.981,1.516,2.813
NEM95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516,1.981,1.516,2.813
