category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
F0_34,0.0,0.238,0.0,0.346,0.0,0.454,0.948,0.0,0.0,0.0,0.0
F35_44,0.0,0.288,0.0,0.332,0.0,0.42,0.81,0.0,0.0,0.0,0.0
F45_54,0.0,0.34,0.0,0.384,0.0,0.404,1.031,0.0,0.0,0.0,0.0
F55_59,0.0,0.385,0.0,0.421,0.0,0.424,0.949,0.0,0.0,0.0,0.0
F60_64,0.0,0.436,0.0,0.502,0.0,0.414,0.881,0.0,0.0,0.0,0.0
F65_69,0.33,0.0,0.435,0.0,0.365,0.0,1.188,0.0,0.0,0.0,0.0
F70_74,0.395,0.0,0.506,0.0,0.423,0.0,1.119,0.0,0.0,0.0,0.0
F75_79,0.465,0.0,0.596,0.0,0.485,0.0,0.965,0.0,0.0,0.0,0.0
F80_84,0.524,0.0,0.665,0.0,0.544,0.0,0.862,0.0,0.0,0.0,0.0
F85_89,0.624,0.0,0.775,0.0,0.618,0.0,0.75,0.0,0.0,0.0,0.0
F90_94,0.737,0.0,0.869,0.0,0.738,0.0,0.627,0.0,0.0,0.0,0.0
F95_GT,0.742,0.0,0.877,0.0,0.835,0.0,0.481,0.0,0.0,0.0,0.0
M0_34,0.0,0.106,0.0,0.191,0.0,0.306,0.826,0.0,0.0,0.0,0.0
M35_44,0.0,0.154,0.0,0.204,0.0,0.261,0.719,0.0,0.0,0.0,0.0
M45_54,0.0,0.215,0.0,0.293,0.0,0.3,0.991,0.0,0.0,0.0,0.0
M55_59,0.0,0.283,0.0,0.41,0.0,0.353,0.989,0.0,0.0,0.0,0.0
M60_64,0.0,0.345,0.0,0.504,0.0,0.374,0.917,0.0,0.0,0.0,0.0
M65_69,0.332,0.0,0.531,0.0,0.375,0.0,1.275,0.0,0.0,0.0,0.0
M70_74,0.396,0.0,0.626,0.0,0.417,0.0,1.224,0.0,0.0,0.0,0.0
M75_79,0.502,0.0,0.714,0.0,0.498,0.0,1.319,0.0,0.0,0.0,0.0
M80_84,0.571,0.0,0.789,0.0,0.565,0.0,1.238,0.0,0.0,0.0,0.0
M85_89,0.664,0.0,0.907,0.0,0.615,0.0,1.135,0.0,0.0,0.0,0.0
M90_94,0.8,0.0,0.993,0.0,0.712,0.0,0.946,0.0,0.0,0.0,0.0
M95_GT,0.896,0.0,1.058,0.0,0.904,0.0,0.825,0.0,0.0,0.0,0.0
OriginallyDisabled_Female,0.228,0.0,0.16,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0
OriginallyDisabled_Male,0.135,0.0,0.158,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0
LTIMCAID,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
