category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
M0_34,0.0,0.13,0.0,0.623,1.916,0.0,0.0,0.0
M35_44,0.0,0.17,0.0,0.566,1.73,0.0,0.0,0.0
M45_54,0.0,0.151,0.0,0.379,1.579,0.0,0.0,0.0
M55_59,0.0,0.106,0.0,0.186,1.121,0.0,0.0,0.0
M60_64,0.0,0.08,0.0,0.046,0.933,0.0,0.0,0.0
M65_69,0.144,0.0,0.288,0.0,0.856,0.0,0.0,0.0
M70_74,0.117,0.0,0.193,0.0,0.598,0.0,0.0,0.0
M75_79,0.026,0.0,0.015,0.0,0.355,0.0,0.0,0.0
M80_84,0.026,0.0,0.015,0.0,0.075,0.0,0.0,0.0
M85_89,0.026,0.0,0.015,0.0,0.075,0.0,0.0,0.0
M90_94,0.026,0.0,0.015,0.0,0.075,0.0,0.0,0.0
M95_GT,0.026,0.0,0.015,0.0,0.075,0.0,0.0,0.0
F0_34,0.0,0.282,0.0,0.649,1.653,0.0,0.0,0.0
F35_44,0.0,0.395,0.0,0.745,2.522,0.0,0.0,0.0
F45_54,0.0,0.322,0.0,0.706,1.72,0.0,0.0,0.0
F55_59,0.0,0.166,0.0,0.401,1.647,0.0,0.0,0.0
F60_64,0.0,0.089,0.0,0.131,1.195,0.0,0.0,0.0
F65_69,0.114,0.0,0.05,0.0,1.22,0.0,0.0,0.0
F70_74,0.013,0.0,0.05,0.0,0.852,0.0,0.0,0.0
F75_79,0.013,0.0,0.05,0.0,0.479,0.0,0.0,0.0
F80_84,0.013,0.0,0.05,0.0,0.026,0.0,0.0,0.0
F85_89,0.013,0.0,0.05,0.0,0.026,0.0,0.0,0.0
F90_94,0.013,0.0,0.05,0.0,0.026,0.0,0.0,0.0
F95_GT,0.013,0.0,0.05,0.0,0.026,0.0,0.0,0.0
