category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
RXHCC163,0.312,0.468,0.797,2.875,0.456,0.0,0.0,0.0
RXHCC164,0.068,0.0,0.052,0.183,0.0,0.0,0.0,0.0
RXHCC166,0.1,0.125,0.289,0.335,0.406,0.0,0.0,0.0
RXHCC168,0.094,0.276,0.265,0.418,0.283,0.0,0.0,0.0
RXHCC183,1.158,4.027,1.67,6.338,0.616,0.0,0.0,0.0
RXHCC184,0.151,0.294,0.195,0.381,0.223,0.0,0.0,0.0
RXHCC186,0.11,0.02,0.195,0.105,0.223,0.0,0.0,0.0
RXHCC187,0.056,0.005,0.113,0.084,0.076,0.0,0.0,0.0
RXHCC188,0.052,0.0,0.183,0.0,0.0,0.0,0.0,0.0
RXHCC191,0.15,0.703,0.514,0.307,0.254,0.0,0.0,0.0
RXHCC193,0.215,0.021,0.139,0.0,0.122,0.0,0.0,0.0
RXHCC207,0.148,0.098,0.17,0.0,0.0,0.0,0.0,0.0
RXHCC215,0.228,0.238,0.237,0.247,0.148,0.0,0.0,0.0
RXHCC225,4.774,26.401,2.663,31.668,1.42,0.0,0.0,0.0
RXHCC226,4.862,3.788,4.995,4.151,1.49,0.0,0.0,0.0
RXHCC227,0.398,0.576,0.527,1.352,0.431,0.0,0.0,0.0
RXHCC228,0.855,0.612,1.907,1.909,1.354,0.0,0.0,0.0
RXHCC229,0.237,0.102,0.491,0.396,0.431,0.0,0.0,0.0
RXHCC243,0.196,0.223,0.469,0.543,0.406,0.0,0.0,0.0
RXHCC244,0.067,0.0,0.107,0.0,0.049,0.0,0.0,0.0
RXHCC260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC261,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC262,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC263,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC311,0.175,0.136,0.201,0.304,0.066,0.0,0.0,0.0
RXHCC314,0.317,0.836,0.53,0.746,0.328,0.0,0.0,0.0
RXHCC316,0.167,0.183,1.198,2.285,0.811,0.0,0.0,0.0
RXHCC317,0.113,0.239,0.043,0.0,0.0,0.0,0.0,0.0
RXHCC355,1.08,2.41,1.452,3.591,0.814,0.0,0.0,0.0
RXHCC395,4.379,2.326,6.061,3.944,2.412,0.0,0.0,0.0
RXHCC396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_RXHCC1,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0
NONAGED_RXHCC130,0.0,0.0,0.0,0.0,0.756,0.0,0.0,0.0
NONAGED_RXHCC131,0.0,0.0,0.0,0.0,0.756,0.0,0.0,0.0
NONAGED_RXHCC132,0.0,0.0,0.0,0.0,0.363,0.0,0.0,0.0
NONAGED_RXHCC133,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0
NONAGED_RXHCC159,0.0,0.0,0.0,0.0,3.509,0.0,0.0,0.0
NONAGED_RXHCC163,0.0,0.0,0.0,0.0,0.711,0.0,0.0,0.0
NESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.139,1.507,3.586
NESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.139,1.979,3.108
NESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.177,1.964,2.872
NESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.177,1.964,2.744
NESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.177,1.633,2.379
NESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,0.465,1.122,2.379
