category,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST,NE_DIAL_ND_PBD_NORIGDIS,NE_DIAL_FBD_NORIGDIS,NE_DIAL_ND_PBD_ORIGDIS,NE_DIAL_FBD_ORIGDIS,NE_GRAFT_ND_PBD_NORIGDIS,NE_GRAFT_FBD_NORIGDIS,NE_GRAFT_ND_PBD_ORIGDIS,NE_GRAFT_FBD_ORIGDIS
HCC85,0.063,0.251,0.273,0.257,0.302,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC86,0.151,0.219,0.252,0.419,0.534,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC87,0.12,0.209,0.241,0.276,0.463,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC88,0.043,0.136,0.135,0.071,0.152,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC96,0.049,0.252,0.269,0.346,0.291,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC99,0.062,0.219,0.194,0.355,0.438,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC100,0.062,0.219,0.181,0.355,0.302,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC103,0.071,0.388,0.331,0.414,0.391,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC104,0.047,0.311,0.162,0.274,0.353,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC106,0.358,1.344,1.397,1.74,1.665,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC107,0.144,0.348,0.436,0.586,0.547,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC108,0.073,0.257,0.273,0.287,0.283,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC110,0.125,0.919,2.244,1.348,3.09,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
