category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
DISABLED_HCC39,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.0,0.0,0.0,0.0
DISABLED_HCC77,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0,0.0
DISABLED_HCC6,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.0,0.0,0.0,0.0
NEF0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.985,0.0,0.0
NEF35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,1.221,0.0,0.0
NEF45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.035,1.337,0.0,0.0
NEF55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004,1.342,0.0,0.0
NEF60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122,1.438,0.0,0.0
NEF65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,1.059,1.13,1.566
NEF66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.946,1.167,1.619
NEF67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.946,1.167,1.619
NEF68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581,0.946,1.167,1.619
NEF69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,0.946,1.167,1.619
NEF70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674,0.975,1.167,1.619
NEF75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,1.092,1.167,1.619
NEF80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,1.395,1.167,1.619
NEF85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.324,1.458,1.167,1.619
NEF90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.324,1.678,1.167,1.619
NEF95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.324,1.678,1.167,1.619
NEM0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.766,0.0,0.0
NEM35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,1.095,0.0,0.0
NEM45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834,1.357,0.0,0.0
NEM55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,1.422,0.0,0.0
NEM60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923,1.582,0.0,0.0
NEM65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,1.201,0.79,1.613
NEM66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,1.208,0.957,1.613
NEM67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,1.208,1.005,2.202
NEM68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641,1.208,1.074,2.202
NEM69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,1.311,1.398,2.202
NEM70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776,1.311,1.398,2.202
NEM75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.361,1.398,2.202
NEM80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.603,1.398,2.202
NEM85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511,1.85,1.398,2.202
NEM90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511,1.85,1.398,2.202
NEM95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.511,1.85,1.398,2.202
