code,status,action_taken,cms_ccs
I2081,NEW,emitted CC(s): 88,88
I2089,NEW,emitted CC(s): 88,88
I21B,NEW,emitted CC(s): 86,86
I2481,NEW,emitted CC(s): 87,87
I2489,NEW,emitted CC(s): 87,87
I2603,NEW,emitted CC(s): 107;85,107;85
I2604,NEW,emitted CC(s): 107;85,107;85
I2695,NEW,emitted CC(s): 107,107
I2696,NEW,emitted CC(s): 107,107
I4710,NEW,emitted CC(s): 96,96
I4711,NEW,emitted CC(s): 96,96
I4719,NEW,emitted CC(s): 96,96
J1561,NEW,emitted CC(s): 114,114
J1569,NEW,emitted CC(s): 114,114
J4481,NEW,emitted CC(s): 111,111
J4489,NEW,emitted CC(s): 111,111
J4A0,NEW,emitted CC(s): 186,186
J4A8,NEW,emitted CC(s): 186,186
J4A9,NEW,emitted CC(s): 186,186
R402A,NEW,emitted CC(s): 80,80
T45AX2A,NEW,emitted CC(s): 59,59
T45AX2S,NEW,emitted CC(s): 59,59
T56822A,NEW,emitted CC(s): 59,59
T56822S,NEW,emitted CC(s): 59,59
Z6856,NEW,emitted CC(s): 22,22
Z91A51,NEW,emitted CC(s): 134,134
Z91A58,NEW,emitted CC(s): 134,134
D593,RETIRED,dropped from 2025 file,
D680,RETIRED,dropped from 2025 file,
D7582,RETIRED,dropped from 2025 file,
E208,RETIRED,dropped from 2025 file,
E798,RETIRED,dropped from 2025 file,
F0151,RETIRED,dropped from 2025 file,
F0281,RETIRED,dropped from 2025 file,
F0391,RETIRED,dropped from 2025 file,
G20,RETIRED,dropped from 2025 file,
G378,RETIRED,dropped from 2025 file,
I208,RETIRED,dropped from 2025 file,
I248,RETIRED,dropped from 2025 file,
I471,RETIRED,dropped from 2025 file,
I472,RETIRED,dropped from 2025 file,
I7101,RETIRED,dropped from 2025 file,
I711,RETIRED,dropped from 2025 file,
I712,RETIRED,dropped from 2025 file,
I713,RETIRED,dropped from 2025 file,
I714,RETIRED,dropped from 2025 file,
I715,RETIRED,dropped from 2025 file,
I716,RETIRED,dropped from 2025 file,
J156,RETIRED,dropped from 2025 file,
Q858,RETIRED,dropped from 2025 file,
Z9115,RETIRED,dropped from 2025 file,
Z91A5,RETIRED,dropped from 2025 file,
