code,status,action_taken,cms_ccs
A4154,NEW,emitted CC(s): 2,2
C810A,NEW,emitted CC(s): 10,10
C811A,NEW,emitted CC(s): 10,10
C812A,NEW,emitted CC(s): 10,10
C813A,NEW,emitted CC(s): 10,10
C814A,NEW,emitted CC(s): 10,10
C817A,NEW,emitted CC(s): 10,10
C819A,NEW,emitted CC(s): 10,10
C820A,NEW,emitted CC(s): 10,10
C821A,NEW,emitted CC(s): 10,10
C822A,NEW,emitted CC(s): 10,10
C823A,NEW,emitted CC(s): 10,10
C824A,NEW,emitted CC(s): 10,10
C825A,NEW,emitted CC(s): 10,10
C826A,NEW,emitted CC(s): 10,10
C828A,NEW,emitted CC(s): 10,10
C829A,NEW,emitted CC(s): 10,10
C830A,NEW,emitted CC(s): 10,10
C831A,NEW,emitted CC(s): 10,10
C83390,NEW,emitted CC(s): 10,10
C83398,NEW,emitted CC(s): 10,10
C833A,NEW,emitted CC(s): 10,10
C835A,NEW,emitted CC(s): 10,10
C837A,NEW,emitted CC(s): 10,10
C838A,NEW,emitted CC(s): 10,10
C839A,NEW,emitted CC(s): 10,10
C840A,NEW,emitted CC(s): 10,10
C841A,NEW,emitted CC(s): 10,10
C844A,NEW,emitted CC(s): 10,10
C846A,NEW,emitted CC(s): 10,10
C847B,NEW,emitted CC(s): 10,10
C849A,NEW,emitted CC(s): 10,10
C84AA,NEW,emitted CC(s): 10,10
C84ZA,NEW,emitted CC(s): 10,10
C851A,NEW,emitted CC(s): 10,10
C852A,NEW,emitted CC(s): 10,10
C858A,NEW,emitted CC(s): 10,10
C859A,NEW,emitted CC(s): 10,10
C8600,NEW,emitted CC(s): 10,10
C8601,NEW,emitted CC(s): 10,10
C8610,NEW,emitted CC(s): 10,10
C8611,NEW,emitted CC(s): 10,10
C8620,NEW,emitted CC(s): 10,10
C8621,NEW,emitted CC(s): 10,10
C8630,NEW,emitted CC(s): 10,10
C8631,NEW,emitted CC(s): 10,10
C8640,NEW,emitted CC(s): 10,10
C8641,NEW,emitted CC(s): 10,10
C8650,NEW,emitted CC(s): 10,10
C8651,NEW,emitted CC(s): 10,10
C8660,NEW,emitted CC(s): 10,10
C8661,NEW,emitted CC(s): 10,10
C8800,NEW,emitted CC(s): 23,23
C8801,NEW,emitted CC(s): 23,23
C8820,NEW,emitted CC(s): 10,10
C8821,NEW,emitted CC(s): 10,10
C8830,NEW,emitted CC(s): 10,10
C8831,NEW,emitted CC(s): 10,10
C8840,NEW,emitted CC(s): 10,10
C8841,NEW,emitted CC(s): 10,10
C8880,NEW,emitted CC(s): 10,10
C8881,NEW,emitted CC(s): 10,10
C8890,NEW,emitted CC(s): 10,10
C8891,NEW,emitted CC(s): 10,10
D5704,NEW,emitted CC(s): 46,46
D57214,NEW,emitted CC(s): 46,46
D57414,NEW,emitted CC(s): 46,46
D57434,NEW,emitted CC(s): 46,46
D57454,NEW,emitted CC(s): 46,46
D57814,NEW,emitted CC(s): 46,46
D6102,NEW,emitted CC(s): 46,46
D6103,NEW,emitted CC(s): 46,46
D8984,NEW,emitted CC(s): 47,47
E20810,NEW,emitted CC(s): 23,23
E20811,NEW,emitted CC(s): 23,23
E20812,NEW,emitted CC(s): 23,23
E20818,NEW,emitted CC(s): 23,23
E20819,NEW,emitted CC(s): 23,23
E2089,NEW,emitted CC(s): 23,23
E3400,NEW,emitted CC(s): 12,12
E3401,NEW,emitted CC(s): 12,12
E3409,NEW,emitted CC(s): 12,12
E66813,NEW,emitted CC(s): 22,22
E7405,NEW,emitted CC(s): 23,23
E74820,NEW,emitted CC(s): 23,23
E74829,NEW,emitted CC(s): 23,23
E7527,NEW,emitted CC(s): 52,52
E7528,NEW,emitted CC(s): 52,52
E7981,NEW,emitted CC(s): 23,23
E7982,NEW,emitted CC(s): 23,23
E7989,NEW,emitted CC(s): 23,23
E8843,NEW,emitted CC(s): 23,23
E88A,NEW,emitted CC(s): 21,21
G115,NEW,emitted CC(s): 72,72
G116,NEW,emitted CC(s): 72,72
G20A1,NEW,emitted CC(s): 78,78
G20A2,NEW,emitted CC(s): 78,78
G20B1,NEW,emitted CC(s): 78,78
G20B2,NEW,emitted CC(s): 78,78
G20C,NEW,emitted CC(s): 78,78
G233,NEW,emitted CC(s): 78,78
G3180,NEW,emitted CC(s): 52,52
G3186,NEW,emitted CC(s): 52,52
G3781,NEW,emitted CC(s): 77,77
G3789,NEW,emitted CC(s): 77,77
G40841,NEW,emitted CC(s): 79,79
G40842,NEW,emitted CC(s): 79,79
G40843,NEW,emitted CC(s): 79,79
G40844,NEW,emitted CC(s): 79,79
G40C01,NEW,emitted CC(s): 79,79
G40C09,NEW,emitted CC(s): 79,79
G40C11,NEW,emitted CC(s): 79,79
G40C19,NEW,emitted CC(s): 79,79
G90B,NEW,emitted CC(s): 52,52
G9342,NEW,emitted CC(s): 52,52
G9343,NEW,emitted CC(s): 52,52
G9344,NEW,emitted CC(s): 52,52
G9345,NEW,emitted CC(s): 79,79
H36811,NEW,emitted CC(s): 46,46
H36812,NEW,emitted CC(s): 46,46
H36813,NEW,emitted CC(s): 46,46
H36819,NEW,emitted CC(s): 46,46
H36821,NEW,emitted CC(s): 122;46,122;46
H36822,NEW,emitted CC(s): 122;46,122;46
H36823,NEW,emitted CC(s): 122;46,122;46
H36829,NEW,emitted CC(s): 122;46,122;46
