category,DIAL,GRAFT_COMM,GRAFT_INST,NE_DIAL_NMCAID_NORIGDIS,NE_DIAL_MCAID_NORIGDIS,NE_DIAL_NMCAID_ORIGDIS,NE_DIAL_MCAID_ORIGDIS,NE_GRAFT_NMCAID_NORIGDIS,NE_GRAFT_MCAID_NORIGDIS,NE_GRAFT_NMCAID_ORIGDIS,NE_GRAFT_MCAID_ORIGDIS
HCC52,0.045,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC54,0.048,0.352,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC55,0.048,0.352,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC57,0.142,0.442,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC58,0.091,0.26,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC70,0.274,1.112,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC71,0.2,0.943,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC72,0.102,0.456,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC73,0.117,1.03,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC74,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC75,0.059,0.284,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC76,0.062,0.544,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC77,0.069,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC78,0.065,0.583,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC79,0.066,0.221,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC80,0.043,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC82,0.242,1.231,1.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC83,0.114,0.54,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC84,0.044,0.345,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC85,0.082,0.336,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC86,0.131,0.258,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC87,0.116,0.258,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC88,0.048,0.129,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC96,0.093,0.303,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC99,0.078,0.252,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC100,0.078,0.252,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC103,0.086,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC104,0.077,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC106,0.321,1.385,0.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC107,0.126,0.431,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC108,0.065,0.271,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC110,0.072,0.494,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC111,0.072,0.313,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC112,0.066,0.281,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC114,0.063,0.596,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC115,0.013,0.155,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC122,0.0,0.248,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC124,0.055,0.512,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC157,0.277,2.492,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC158,0.161,1.285,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC159,0.147,0.955,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC160,0.147,0.799,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC161,0.119,0.503,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC162,0.042,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC166,0.043,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC167,0.017,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC169,0.065,0.456,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC170,0.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC173,0.042,0.29,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC176,0.0,0.599,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC186,0.154,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC188,0.078,0.643,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCC189,0.09,0.654,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPSIS_CARD_RESP_FAIL,0.038,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
