category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
RXHCC163,0.314,0.473,0.793,2.854,0.457,0.0,0.0,0.0
RXHCC164,0.069,0.0,0.052,0.184,0.0,0.0,0.0,0.0
RXHCC166,0.1,0.126,0.288,0.332,0.407,0.0,0.0,0.0
RXHCC168,0.094,0.275,0.263,0.416,0.286,0.0,0.0,0.0
RXHCC183,1.163,4.044,1.666,6.326,0.617,0.0,0.0,0.0
RXHCC184,0.151,0.294,0.195,0.38,0.224,0.0,0.0,0.0
RXHCC186,0.11,0.019,0.195,0.103,0.224,0.0,0.0,0.0
RXHCC187,0.057,0.005,0.113,0.084,0.077,0.0,0.0,0.0
RXHCC188,0.052,0.0,0.183,0.0,0.0,0.0,0.0,0.0
RXHCC191,0.152,0.708,0.521,0.313,0.264,0.0,0.0,0.0
RXHCC193,0.21,0.019,0.133,0.0,0.118,0.0,0.0,0.0
RXHCC207,0.15,0.099,0.165,0.0,0.0,0.0,0.0,0.0
RXHCC215,0.225,0.236,0.231,0.237,0.142,0.0,0.0,0.0
RXHCC225,4.674,25.855,2.618,31.03,1.39,0.0,0.0,0.0
RXHCC226,4.908,3.807,5.034,4.187,1.5,0.0,0.0,0.0
RXHCC227,0.4,0.57,0.53,1.345,0.433,0.0,0.0,0.0
RXHCC228,0.862,0.617,1.913,1.909,1.359,0.0,0.0,0.0
RXHCC229,0.239,0.103,0.494,0.399,0.433,0.0,0.0,0.0
RXHCC243,0.198,0.225,0.459,0.534,0.399,0.0,0.0,0.0
RXHCC244,0.067,0.0,0.103,0.0,0.046,0.0,0.0,0.0
RXHCC260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC261,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC262,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RXHCC263,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
