category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
NESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.251,2.066,2.651
NESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.251,2.1,2.318
NESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.251,2.0,1.996
NESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,0.478,1.172,2.052
NESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.507,0.832,2.052
NESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.527,0.832,1.759
NESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.541,0.775,1.759
NESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.594,0.731,1.547
NESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.599,0.672,1.547
NESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.706,0.672,1.155
NESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.706,0.652,1.155
NESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.858,0.652,1.155
NESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.858,0.406,0.752
NESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.858,0.406,0.399
NESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.693,2.835,3.447
NESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.693,2.835,3.447
NESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.306,2.835,3.447
NESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.306,2.516,2.69
NESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.306,2.516,2.49
NESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,0.388,1.254,2.651
NESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,0.414,0.882,2.651
NESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,0.414,0.851,1.929
NESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,0.458,0.825,1.929
NESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,0.458,0.787,1.451
NESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,0.483,0.772,1.451
NESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.515,0.72,1.451
NESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.547,0.686,0.925
NESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.42,0.686,0.925
NESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.249,0.415,0.491
NESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.249,0.415,0.491
ESRD_NORIGDIS_X_M0_34,0.0,0.0,0.0,0.0,0.0,1.069,2.066,2.316
ESRD_NORIGDIS_X_M35_44,0.0,0.0,0.0,0.0,0.0,1.069,2.066,2.316
ESRD_NORIGDIS_X_M45_54,0.0,0.0,0.0,0.0,0.0,1.251,2.066,2.316
ESRD_NORIGDIS_X_M55_59,0.0,0.0,0.0,0.0,0.0,1.251,2.207,2.316
ESRD_NORIGDIS_X_M60_64,0.0,0.0,0.0,0.0,0.0,1.251,2.371,2.316
ESRD_NORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.269,2.183,2.316
ESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.693,2.835,2.481
ESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.693,2.835,2.481
ESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.306,2.835,2.481
ESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.306,2.516,2.481
ESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.306,2.516,2.481
ESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
ESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.019,2.387,2.481
NESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.061,1.685,2.052
NESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.145,1.132,2.052
NESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.145,1.132,1.759
NESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.049,0.815,1.759
NESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.012,0.769,1.547
NESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.889,0.672,1.547
