key,score
FGI_LT65_DUR4_9_ND_PBD,1.737
FGI_LT65_DUR4_9_FBD,2.083
FGI_GE65_DUR4_9_ND_PBD,2.529
FGI_GE65_DUR4_9_FBD,2.605
FGI_LT65_DUR10PL_ND_PBD,0.335
FGI_LT65_DUR10PL_FBD,0.648
FGI_GE65_DUR10PL_ND_PBD,0.905
FGI_GE65_DUR10PL_FBD,1.279
FGI_PBD_LT65_flag,0.141
FGI_PBD_GE65_flag,0.162
LTI_LT65,2.146
LTI_GE65,0.955
