category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
SEPSIS_ASP_SPEC_BACT_PNEUM,0,0,0,0,0,0,0.346,0,0,0,0
SCHIZOPHRENIA_gCopdCF,0,0,0,0,0,0,0.417,0,0,0,0
SCHIZOPHRENIA_CHF,0,0,0,0,0,0,0.127,0,0,0,0
SCHIZOPHRENIA_SEIZURES,0,0,0,0,0,0,0.573,0,0,0,0
DISABLED_HCC85,0,0,0,0,0,0,0.279,0,0,0,0
DISABLED_PRESSURE_ULCER,0,0,0,0,0,0,0.544,0,0,0,0
DISABLED_HCC161,0,0,0,0,0,0,0.473,0,0,0,0
DISABLED_HCC39,0,0,0,0,0,0,0.456,0,0,0,0
DISABLED_HCC77,0,0,0,0,0,0,0.496,0,0,0,0
DISABLED_HCC6,0,0,0,0,0,0,0.405,0,0,0,0
D1,0,0,0,0,0,0,0,0,0,0,0
D2,0,0,0,0,0,0,0,0,0,0,0
D3,0,0,0,0,0,0,0,0,0,0,0
D4,0.006,0,0,0,0,0,0,0,0,0,0
D5,0.042,0.043,0,0.055,0.037,0.083,0,0,0,0,0
D6,0.077,0.131,0.04,0.167,0.071,0.117,0,0,0,0,0
D7,0.126,0.201,0.057,0.269,0.08,0.291,0,0,0,0,0
D8,0.214,0.441,0.095,0.424,0.125,0.452,0,0,0,0,0
D9,0.258,0.441,0.156,0.549,0.402,0.499,0,0,0,0,0
D10P,0.505,0.897,0.373,1.056,0.548,0.893,0,0,0,0,0
NEF0_34,0,0,0,0,0,0,0,0.804,0.969,0,0
NEF35_44,0,0,0,0,0,0,0,0.947,1.202,0,0
NEF45_54,0,0,0,0,0,0,0,1.016,1.306,0,0
NEF55_59,0,0,0,0,0,0,0,1.017,1.307,0,0
NEF60_64,0,0,0,0,0,0,0,1.122,1.408,0,0
NEF65,0,0,0,0,0,0,0,0.52,0.993,1.122,1.462
NEF66,0,0,0,0,0,0,0,0.515,0.897,1.174,1.887
NEF67,0,0,0,0,0,0,0,0.544,0.92,1.174,1.887
NEF68,0,0,0,0,0,0,0,0.598,0.951,1.174,1.887
NEF69,0,0,0,0,0,0,0,0.6,0.951,1.174,1.887
NEF70_74,0,0,0,0,0,0,0,0.69,0.985,1.174,1.887
NEF75_79,0,0,0,0,0,0,0,0.86,1.134,1.174,1.887
NEF80_84,0,0,0,0,0,0,0,1.014,1.353,1.174,1.887
NEF85_89,0,0,0,0,0,0,0,1.293,1.536,1.293,1.887
NEF90_94,0,0,0,0,0,0,0,1.293,1.701,1.293,1.887
NEF95_GT,0,0,0,0,0,0,0,1.293,1.701,1.293,1.887
NEM0_34,0,0,0,0,0,0,0,0.442,0.734,0,0
NEM35_44,0,0,0,0,0,0,0,0.657,1.059,0,0
NEM45_54,0,0,0,0,0,0,0,0.864,1.353,0,0
NEM55_59,0,0,0,0,0,0,0,0.904,1.418,0,0
NEM60_64,0,0,0,0,0,0,0,0.921,1.551,0,0
NEM65,0,0,0,0,0,0,0,0.518,1.144,0.921,1.811
NEM66,0,0,0,0,0,0,0,0.533,1.094,1.071,2.199
NEM67,0,0,0,0,0,0,0,0.582,1.151,1.123,2.199
NEM68,0,0,0,0,0,0,0,0.626,1.202,1.123,2.199
NEM69,0,0,0,0,0,0,0,0.69,1.202,1.32,2.199
NEM70_74,0,0,0,0,0,0,0,0.786,1.298,1.408,2.199
NEM75_79,0,0,0,0,0,0,0,1.06,1.407,1.408,2.199
NEM80_84,0,0,0,0,0,0,0,1.247,1.555,1.408,2.199
NEM85_89,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
NEM90_94,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
NEM95_GT,0,0,0,0,0,0,0,1.498,1.777,1.498,2.199
